date,avg_daily_yield,total_yield
2020-05-16,6421.777777777777,6421.777777777777
2020-05-17,7533.388888888889,13955.166666666666
2020-05-18,5364.888888888889,19320.055555555555
2020-05-19,6876.0,26196.055555555555
2020-05-21,7741.3,33937.35555555556
2020-05-22,7203.888888888889,41141.24444444445
2020-05-23,8504.888888888889,49646.13333333334
2020-05-24,7979.5,57625.63333333334
2020-05-25,8786.722222222223,66412.35555555556
2020-05-27,6469.430555555556,72881.78611111113
2020-05-29,7845.944444444444,80727.73055555556
2020-05-30,7252.333333333333,87980.0638888889
2020-05-31,5957.411764705882,93937.47565359478
2020-06-01,5799.055555555556,99736.53120915034
2020-06-02,7368.6,107105.13120915035
2020-06-03,7683.079372829861,114788.21058198021
2020-06-04,8075.555555555556,122863.76613753577
2020-06-05,7675.7,130539.46613753577
2020-06-06,6175.875,136715.34113753575
2020-06-07,7753.625,144468.96613753575
2020-06-08,8207.104166666666,152676.0703042024
2020-06-09,8059.888888888889,160735.9591930913
2020-06-10,6461.055555555556,167197.01474864685
2020-06-11,5433.791666666667,172630.8064153135
2020-06-12,5773.976182725694,178404.7825980392
2020-06-13,8385.076388888889,186789.85898692807
2020-06-14,7115.347222222223,193905.2062091503
2020-06-15,6679.756944444444,200584.96315359473
2020-06-16,6079.354166666667,206664.31732026138
